RefDes,Type,X (mm),Y (mm),Side,Rotate,Value,Feeder,Code
C7,CAP,14.73,23.5,Top,0,100nF,3,5
R5,RES,19.37,23.5,Top,0,100R,6,0
R6,CAY16-222J4LF,10.09,24.1,Top,90,2K2x4,8,3
U4,DS2482S-100,15.56,29.69,Top,0,,26,104
U6,DS9503,21.27,28.66,Top,0,,21,105
U7,FDC6301N,10.02,30.51,Top,0,,1,7
