RefDes,Type,Y (mm),X (mm),Side,Rotate,Value,Feeder,Code
C1,CAP,24.81,36.99,Top,0,100nF,3,5
C2,CAP,26.83,31.64,Top,90,100nF,3,5
C3,CAP,20.52,36.99,Top,0,100nF,3,5
C4,CAP,16.4,36.99,Top,0,100nF,3,5
C5,CAP,24.49,25.88,Top,0,100nF,3,5
C7,CAP,15,20,Top,90,100nF,3,5
R5,RES,19.5,16.4,Top,0,100R,6,0
R6,CAY16-222J4LF,22,41.6,Top,0,2K2x4,8,3
U4,DS2482S-100,19,21.75,Top,0,,26,104
U5,MAX3232EID,20.16,31.43,Top,170,,23,103
U6,DS9503,26.51,10,Top,180,,21,105
U7,FDC6301N,22,45.1,Top,90,,1,7
