RefDes,Type,Y (mm),X (mm),Side,Rotate,Value,Feeder,Code
U2,FDC6301N,59.94,54.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,63.11,54.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,56.38,54.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,66.22,54.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,59.94,69.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,63.11,69.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,56.38,69.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,66.22,69.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,73.54,7.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,76.71,7.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.98,7.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,79.82,7.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,73.54,23.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,76.71,23.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.98,23.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,79.82,23.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,73.54,38.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,76.71,38.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.98,38.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,79.82,38.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,73.54,54.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,76.71,54.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.98,54.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,79.82,54.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,73.54,69.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,76.71,69.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,69.98,69.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,79.82,69.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,87.14,7.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,0.31001,7.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,83.58,7.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,93.42,7.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,87.14,23.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,0.31001,23.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,83.58,23.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,93.42,23.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,87.14,38.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,0.31001,38.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,83.58,38.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,93.42,38.99,Top,0,2K2 x 4,8,3
U2,FDC6301N,87.14,54.31,Top,0,Dual Mosfet,1,7
U7,FDC6301N,0.31001,54.31,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,83.58,54.49,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,93.42,54.49,Top,0,2K2 x 4,8,3
U2,FDC6301N,87.14,69.81,Top,0,Dual Mosfet,1,7
U7,FDC6301N,0.31001,69.81,Top,0,Dual Mosfet,1,7
R1,CAY16-222J4LF,83.58,69.99,Top,0,2K2 x 4,8,3
R6,CAY16-222J4LF,93.42,69.99,Top,0,2K2 x 4,8,3
