RefDes,Type,X (mm),Y (mm),Side,Rotate,Value,Feeder,Code
C1,CAP,23.18,16.93,Top,90,100nF,3,5
C6,CAP,23.18,22.41,Top,90,100nF,3,5
R1,CAY16-222J4LF,36.96,20.55,Top,0,10K x 4,7,3
R2,CAY16-222J4LF,28.7,20.55,Top,0,10K x 4,7,3
R21,CAY16-222J4LF,36.96,25,Top,0,10K x 4,7,3
U3,MCP23017_SO,12.07,25.66,Top,90,,22,106
U4,MCP23017_SO,12.07,12.92,Top,90,,22,106
U7,FDC6301N,37.18,29.83,Top,90,Dual Mosfet,1,7
